key	verdict	locus	note
a-stems:14	AGREE	§ 82 (L1078)	«наиболее распространенный тип склонения» — тематический на -a; 8 падежных форм (7 + вокатив в списке падежей) × 3 числа — § 71.
a-stems:17	AGREE	§ 71 (L946)	Вокатив — «особая звательная форма», которая «по традиции… просто включается в список падежей» — та же трактовка: не отдельный падеж.
a-stems:169	SILENT	—	Искал «прилагательн»+«распространён/многочислен»: классы прилагательных не ранжируются; § 82 говорит о склонении на -a вообще.
a-stems:172	AGREE	§ 180 (L2630)	«возможны суффиксы женского рода -ā- или -ī-»; три родовые парадигмы — §§ 73, 103; счёт 72 клеток — арифметика статьи.
a-stems:179	AGREE	§ 82 (L1092)	В парадигме «devābhyām» I.D.Abl дв., «devayoḥ» G.L дв., «devebhyaḥ» D.Abl мн. — синкретизм тот же.
a-stems:202	SILENT	—	Искал devāsas, devebhis, «ведийск» при склонении: ведийские варианты именных окончаний не даны; §§ 221–238 — только ударение.
declension-overview:20	AGREE	§ 71 (L940)	«Род: мужской (m), женский (f) и средний (n)», 3 числа, 7 падежей + вокатив, включаемый в список падежей = сетка 8×3×3.
declension-overview:22	AGREE	§ 74 (L982)	Типы склонения «в зависимости от того, на что оканчивается их основа».
declension-overview:86	AGREE	§§ 82–86 (L1092)	«devena… senayā… agninā… devyā… vadhvā… dātrā»; для u — замена i→u (sununā); согласные основы I.sg -ā (rājñā § 89, vācā § 100).
consonant-stems:19	SILENT	—	Искал «важн», «распростран», «второй»: иерархии типов склонения нет; отмечен лишь самый распространённый тип на -a (§ 82).
consonant-stems:22	AGREE	§ 78 (L1052)	«средние (где окончание начинается с согласной или равно нулю)» — I/L мн. и др.; V.sg у З. формально «сильная», но с guṇa (§ 79).
consonant-stems:23	AGREE	§ 89 (L1350)	«rājā… rājānam… rājñā… rājasu» — сильная rājān-, слабейшая rājñ-, средняя rāja-: полное совпадение.
consonant-stems:30	AGREE	§ 90 (L1390)	«Чередование in/i/ī по аналогии с an/a/ā», N.sg balī; -n выпадает перед согласными (balibhiḥ), но в слабейших сохраняется (balinā).
consonant-stems:31	AGREE	§ 92 (L1446)	Образцы manas-, āyus-, havis- — средний род; «manāṁsi», āyūṁṣi; у З. носовая — вставка n в N.V.A.pl n (§ 75), не «сильная форма».
consonant-stems:33	AGREE	§ 74 (L978)	«окончания склонения присоединяются непосредственно к корню»; vāc-, diç- — § 100; -añc- «первоначально корневой» (§ 95).
consonant-stems:98	AGREE	§ 89 (L1350)	Сильные rājā/rājānam/rājānau/rājānaḥ; слабейшие «rājñā», rājñaḥ/rājñoḥ; средние «rājabhiḥ… rājasu», rājabhyām — распределение § 78 то же.
pronouns:19	SILENT	—	Искал «закрыт», «пополня», «конечный список»: тезиса о закрытости класса нет; §§ 73, 104–107 — перечни и особенности склонения.
pronouns:22	AGREE	§ 104 (L1646)	Личные — только 1/2 л.; Abl «mat, tvat, asmat, yuṣmat», основы mad-/tvad-/asmad-/yuṣmad- (§ 107); ta- глоссируется «тот, он» (§ 105).
pronouns:25	AGREE	§ 105 (L1686)	«тот, он» (ta-), «этот, он» (ayam/idam), asau/adaḥ «тот» (оный); eta- «этот (присутствующий)» — § 106.
pronouns:26	AGREE	§ 106 (L1736)	«N.sg kaḥ, kā, kim» — вопросительное ka-.
pronouns:27	AGREE	§ 106 (L1734)	Относительное «ya- *который*»: yaḥ, yā, yat.
pronouns:28	AGREE	§ 209 (L2830)	«частицы cit, cana, api равносильны русским -либо, -нибудь»: kiṁcana, kadācit — вопросительное + частица.
pronouns:29	AGREE	§ 106 (L1738)	«N.sg sarvaḥ, sarvā, sarvam, в остальном как ya-»; anya- как ya-; para- по sva- (допускает и именные формы); sama- не назван.
pronouns:32	AGREE	§ 105 (L1692)	«tasmai… tasmāt… tasmin… teṣām»; «Особо стоит склонение местоимений» (§ 75) — особость этих окончаний зафиксирована.
pronouns:90	AGREE	§ 104 (L1658)	«mahyam… mama… asmākam»; § 105: saḥ/sā (без t-), tasmai, tasmāt, tasmin, teṣām — обе парадигмы совпадают.
thematic-present:14	AGREE	§ 116 (L1950)	Деление «на 10 классов: 4 тематических (I, IV, VI, X)»; bhava- § 117, dīvya- § 118, tuda- § 117, corayati § 168.
thematic-present:129	AGREE	§ 117 (L1964)	«У неполноизменяемых корней классы I и VI… неразличимы»; I — guṇa, VI — слабая ступень; разграничение по ведийскому ударению (§ 232).
thematic-present:134	AGREE	§ 160 (L2496)	«пассив отличался от med. IV класса местом ударения» (pacyáte/pácyate); «В послеведийском языке такие формы омонимичны».
thematic-present:150	AGREE	§ 122 (L1996)	«за корнем или за суффиксами no/nu, o/u, nā/nī»; VII — инфикс na/n (§ 134), III — удвоение (§ 130), IV -ya (§ 118), I/VI — ступень корня (§ 117).
thematic-present:92	AGREE	§ 119 (L1980)	«Это каузативы… деноминативы… глаголы X класса» — все с aya; основа на a = тематическая (§ 114), X среди 4 тематических (§ 116).
thematic-present:94	SILENT	—	Уитни здесь не цитируется; сам параллелизм основ презенса — § 116 сн. 23, но без инвентаря классов kṛ/dā по Уитни.
thematic-present:186	AGREE	§ 129 (L2134)	«√as *быть* --- asmi, asi» — класс II; √as *бросать* есть (§ 141, asthat), но его презенс/класс IV не назван.
conjugation-overview:25	AGREE	§ 109 (L1794)	«Лицо… Число… Наклонение… Время… Залог» — те же пять осей личной формы.
conjugation-overview:26	AGREE	§ 109 (L1806)	«настоящее, прошедшее… будущее»; прошедшее «в трех разновидностях — имперфект, аорист, перфект»; DCS-склейка — рамка статьи.
conjugation-overview:27	AGREE	§ 109 (L1800)	Индикатив, императив, оптатив + «прекатив, инъюнктив и кондиционалис»; конъюнктив — ведийский, позже исчез (примеч.).
conjugation-overview:28	AGREE	§ 109 (L1812)	«действительный (актив…), средний (медиум…), страдательный (пассив)».
imperfect:19	AGREE	§ 112 (L1848)	«Во всех формах имперфекта… имеется префикс a-»; основа презенса (§ 110), окончания -am/-ḥ/-t… (§ 115); термина «вторичные» нет.
imperfect:21	AGREE	§ 109 (L1808)	Имперфект — «нейтральный способ выражения действия в прошлом»; позже все три претерита практически равнозначны.
imperfect:76	AGREE	§ 112 (L1848)	Аугмент «сливается в ai, au, ār» с i/u/ṛ; ādam (из a-adam); āsam/āsīt — § 129 п. 5.
imperfect:77	AGREE	§ 115 (L1884)	«apacam… apacaḥ… apacat… apacan» — окончания -am, -ḥ, -t; -va, -tam, -tām; -ma, -ta, -an (термин «вторичные» не используется).
imperfect:78	AGREE	§ 117 (L1958)	«bhava- от √bhū» (кл. I); akarot от karo- (кл. VIII по инд. традиции, § 135); abravīt от bravī- (§ 129 п. 4).
imperative-optative:19	AGREE	§ 109 (L1800)	Императив и оптатив — в основном списке наклонений; остальные — «сравнительно редко употребляемые прекатив, инъюнктив и кондиционалис».
imperative-optative:89	AGREE	§ 123 (L2024)	«-dhi после согласных, -hi после гласных» (сн. 26); paca -Ø, sunu/kuru -Ø (§ 135), -tu, -ta (§ 115); функции подробно не расписаны.
imperative-optative:92	AGREE	§ 122 (L1998)	«суффикс yā/ī, а именно, yā в act., ī… в med.»; тематически a+ī→e (§ 115: pacet); kuryām § 135, syām § 129.
imperative-optative:93	AGREE	§ 109 (L1802)	«пожелание, рекомендацию… возможность, вероятность»; paçyet «ему следует увидеть»; про форму правила в шастре отдельно не сказано.
imperative-optative:57	AGREE	§ 41 (L598)	«astv iha *пусть будет здесь*»; 3 ед. императива pacatu (§ 115), çrūyatām «пусть будет выслушано» (§ 206) — юссивное «пусть».
perfect:14	AGREE	§ 150 (L2374)	Основа перфекта — корень «с удвоительным слогом»; § 156: «форма на -ām в сочетании с перфектом вспомогательного глагола» у производных и затруднённых основ.
perfect:16	DISAGREE	§ 154 (L2444)	«Перфект от √vid… образуется без удвоения» — veda у источника прямо нередуплицированный (в отличие от uvāca, cakāra, jaghnuḥ).
perfect:105	AGREE	§ 112 (L1848)	Аугмент только у «имперфекта, аориста и кондиционалиса» — перфект безаугментен; но аугмент+удвоение даёт и имперфект III кл., не только аорист.
perfect:100	AGREE	§ 142 (L2250)	«ajijanat *родил* (от √jan)», apaptat (от √pat) — аорист 3, тематический с удвоением, с аугментом; avīvṛdhan не упомянут, но тип тот же.
perfect:101	SILENT	—	Искал adadat и редупл. аорист от dā — не разбирается; у З. имперфект III кл. от dā: 3 pl adaduḥ (§ 123), аорист dā — корневой adāt (§ 140).
perfect:118	AGREE	§ 156 (L2456)	«√kar или √as, реже √bhū» — тройка вспомогательных, bhū редчайший; доминирование as над kṛ источник не утверждает; ссылка на Уитни — рамка статьи.
