id	type	rule	category	lesson	difficulty	question	answer	choices	context
ESD-0001	join	E44	vowel coalescence	7	medium	Join (external sandhi): atha + ādiparva	athādiparva	athādiparva | atha ādiparva | athadiparva | athādiparvaḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 1; rule E44 (Whitney ch.III); После VII, IX занятия
ESD-0002	join	E44	vowel coalescence	7	medium	Join (external sandhi): trīṇi + indriyāṇi	trīṇīndriyāṇi	trīṇīndriyāṇi | trīṇi indriyāṇi | triṇindriyaṇi | trīṇīndriyāṇiḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 2; rule E44 (Whitney ch.III); После VII, IX занятия
ESD-0003	join	E43	vowel coalescence	7	medium	Join (external sandhi): atha + udyogaparva	athodyogaparva	athodyogaparva | atha udyogaparva | athedyegaparva | athodyogaparvaḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 3; rule E43 (Whitney ch.III); После VII, IX занятия
ESD-0004	join	E42	vowel coalescence	7	medium	Join (external sandhi): ādiparva + eva	ādiparvaiva	ādiparvaiva | ādiparva eva | adiparvaiva | ādiparvaivaḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 4; rule E42 (Whitney ch.III); После VII, IX занятия
ESD-0005	identify	E-none	unchanged junction	7	easy	Apply external sandhi at the junction: ādiparvaiva + paṭhati — does anything change?	ādiparvaiva paṭhati	ādiparvaiva paṭhati | itahṭap aviavrapidā | adiparvaiva paṭhati | ādiparvaiva-paṭhati	Emeneau&vanNooten 2nd ed. Ex.11 item 4; rule E-none (Whitney ch.III); После VII, IX занятия
ESD-0006	join	E45	vowel coalescence	7	medium	Join (external sandhi): āraṇyakaparvaṇi + eva	āraṇyakaparvaṇy eva	āraṇyakaparvaṇy eva | āraṇyakaparvaṇi eva | araṇyakaparvaṇy ova | āraṇyakaparvaṇy-eva	Emeneau&vanNooten 2nd ed. Ex.11 item 5; rule E45 (Whitney ch.III); После VII, IX занятия
ESD-0007	identify	E-none	unchanged junction	7	easy	Apply external sandhi at the junction: eva + nalopākhyānam — does anything change?	eva nalopākhyānam	eva nalopākhyānam | manāyhkāpolan ave | ova nalepakhyanam | eva-nalopākhyānam	Emeneau&vanNooten 2nd ed. Ex.11 item 5; rule E-none (Whitney ch.III); После VII, IX занятия
ESD-0008	identify	E-none	unchanged junction	7	easy	Apply external sandhi at the junction: nalopākhyānam + asti — does anything change?	nalopākhyānam asti	nalopākhyānam asti | itsa manāyhkāpolan | nalepakhyanam asti | nalopākhyānam-asti	Emeneau&vanNooten 2nd ed. Ex.11 item 5; rule E-none (Whitney ch.III); После VII, IX занятия
ESD-0009	join	E45	vowel coalescence	7	medium	Join (external sandhi): asti + araṇye	asty araṇye	asty araṇye | asti araṇye | asty araṇyo | asty-araṇye	Emeneau&vanNooten 2nd ed. Ex.11 item 6,7; rule E45 (Whitney ch.III); После VII, IX занятия
ESD-0010	join	E46	vowel coalescence	7	medium	Join (external sandhi): araṇye + aśvaḥ	araṇye 'śvaḥ	araṇye 'śvaḥ | araṇye aśvaḥ | araṇyo 'śvaḥ | araṇye-'śvaḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 6,7; rule E46 (Whitney ch.III); После VII, IX занятия
ESD-0011	join	E45	vowel coalescence	7	medium	Join (external sandhi): asti + araṇye	asty araṇye	asty araṇye | asti araṇye | asty araṇyo | asty-araṇye	Emeneau&vanNooten 2nd ed. Ex.11 item 8; rule E45 (Whitney ch.III); После VII, IX занятия
ESD-0012	join	E47	vowel coalescence	7	medium	Join (external sandhi): araṇye + ṛṣiḥ	araṇyaṣiḥ	araṇyaṣiḥ | araṇye ṛṣiḥ | araṇyaṣia | araṇyaṣiḥḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 8; rule E47 (Whitney ch.III); После VII, IX занятия
ESD-0013	join	E48	vowel coalescence	7	medium	Join (external sandhi): asāu + āha	asāv āha	asāv āha | asāu āha | asav aha | asāv-āha	Emeneau&vanNooten 2nd ed. Ex.11 item 9; rule E48 (Whitney ch.III); После VII, IX занятия
ESD-0014	identify	E41	vowel coalescence	7	easy	Apply external sandhi at the junction: kanye + āgacchataḥ — does anything change?	kanye āgacchataḥ	kanye āgacchataḥ | ḥatahccagā eynak | kanyo agacchataḥ | kanye-āgacchataḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 10; rule E41 (Whitney ch.III); После VII, IX занятия
ESD-0015	join	E57	visarga	6	medium	Join (external sandhi): havis + prāpsyati	haviḥ prāpsyati	haviḥ prāpsyati | havis prāpsyati | haviḥ prapsyati | haviḥ-prāpsyati	Emeneau&vanNooten 2nd ed. Ex.12 item 1,2,3; rule E57 (Whitney ch.III); После VI, IX занятия
ESD-0016	join	E45	vowel coalescence	6	medium	Join (external sandhi): prāpsyati + agnis	prāpsyaty agnis	prāpsyaty agnis | prāpsyati agnis | prapsyaty agnis | prāpsyaty-agnis	Emeneau&vanNooten 2nd ed. Ex.12 item 1,2,3; rule E45 (Whitney ch.III); После VI, IX занятия
ESD-0017	join	E57	visarga	6	medium	Join (external sandhi): kukkuras + punar	kukkuraḥ punar	kukkuraḥ punar | kukkuras punar | kukkuraḥ punaa | kukkuraḥ-punar	Emeneau&vanNooten 2nd ed. Ex.12 item 4,5; rule E57 (Whitney ch.III); После VI, IX занятия
ESD-0018	join	E57	visarga	6	medium	Join (external sandhi): punar + khanati	punaḥ khanati	punaḥ khanati | punar khanati | punaḥ khanata | punaḥ-khanati	Emeneau&vanNooten 2nd ed. Ex.12 item 4,5; rule E57 (Whitney ch.III); После VI, IX занятия
ESD-0019	identify	E-none	unchanged junction	6	easy	Apply external sandhi at the junction: tatra + punar — does anything change?	tatra punar	tatra punar | ranup artat | tatra punaa | tatra-punar	Emeneau&vanNooten 2nd ed. Ex.12 item 6; rule E-none (Whitney ch.III); После VI, IX занятия
