lemma	class10_tokens	example_form	person	number	tense	verdict(blank→adjudicate: caus|curadi|denom|unclear)
śamay	375	śamayati	3	Sing	Pres	
cintay	810	cintayed	3	Sing	Pres	
ākarṣay	11	ākarṣayet	3	Sing	Pres	
darśay	685	darśayāmāsa	3	Sing	Past	
saṃlakṣay	143	saṃlakṣyate	3	Sing	Pres	
sambhāvay	71	saṃbhāvayati	3	Sing	Pres	
vartay	296	vartayet	3	Sing	Pres	
vipothay	15	vyapothayat	3	Sing	Impf	
pūjay	1249	pūjyante	3	Plur	Pres	
lepay	322	lepayed	3	Sing	Pres	
mocay	96	mocayed	3	Sing	Pres	
pātay	550	pātayet	3	Sing	Pres	
varay	194	varaya	2	Sing	Pres	
vikalpay	47	vikalpyate	3	Sing	Pres	
āvāray	17	āvārayiṣyāmi	1	Sing	Fut	
kāray	1327	kārayed	3	Sing	Pres	
upāvartay	13	upāvartaya	2	Sing	Pres	
visarjay	185	visarjayati	3	Sing	Pres	
poṣay	22	poṣaya	2	Sing	Pres	
yojay	706	yojayet	3	Sing	Pres	
anumoday	4	anumodayāmi	1	Sing	Pres	
bhakṣay	941	bhakṣayiṣyāmi	1	Sing	Fut	
sampratipūjay	3	sampratipūjayet	3	Sing	Pres	
anugāpay	4	anugāpayet	3	Sing	Pres	
vardhay	320	vardhayanti	3	Plur	Pres	
sādhay	445	sādhayet	3	Sing	Pres	
pūray	371	pūrayed	3	Sing	Pres	
dāpay	342	dāpayet	3	Sing	Pres	
kathay	2083	kathyate	3	Sing	Pres	
snāpay	99	snāpayiṣyāma	1	Plur	Fut	
pracyāvay	26	prācyāvayat	3	Sing	Impf	
prahlāday	8	prahlādayāmāsa	3	Sing	Past	
saṃtyājay	1	saṃtyājayiṣyati	3	Sing	Fut	
dhāray	1337	adhārayat	3	Sing	Impf	
kṣālay	83	kṣālayet	3	Sing	Pres	
saṃprakāśay	53	saṃprakāśayanti	3	Plur	Pres	
ājñāpay	178	ājñāpayatu	3	Sing	Pres	
niveday	543	nyavedayat	3	Sing	Impf	
abhivardhay	18	abhivardhayet	3	Sing	Pres	
khyāpay	23	khyāpayāmāsa	3	Sing	Past	
bhojay	349	bhojayed	3	Sing	Pres	
niryātay	24	niryātayet	3	Sing	Pres	
sāday	603	sādaya	2	Sing	Pres	
ārocay	76	ārocayati	3	Sing	Pres	
niyojay	162	niyojayet	3	Sing	Pres	
ghaṭay	16	ghaṭayāmāsa	3	Sing	Past	
ramay	107	ramayati	3	Sing	Pres	
paripālay	70	paripālaya	2	Sing	Pres	
varjay	473	varjayet	3	Sing	Pres	
tarpay	765	tarpayati	3	Sing	Pres	
tāray	175	tārayeyuḥ	3	Plur	Pres	
vibhāvay	116	vibhāvayet	3	Sing	Pres	
janay	1106	janayanti	3	Plur	Pres	
peṣay	167	peṣayet	3	Sing	Pres	
pothay	35	apothayat	3	Sing	Impf	
pratinivāray	2	pratinivāryate	3	Sing	Pres	
vivarjay	159	vivarjayed	3	Sing	Pres	
vācay	379	vācayaty	3	Sing	Pres	
samśoṣay	9	saṃśoṣayed	3	Sing	Pres	
mārjay	147	mārjayante	3	Plur	Pres	
