sentence_id	sent_id	chapter_id	n_tokens	target_idx	lemma_id	lemma	upos	cell	formation	form	unsandhied	corpus_freq	sentence_cloze	sentence_full	distractor_forms	n_distractors	drill_mode
1067	506286	7429	5	3	156168	kṛ	VERB	Pres.Ind.3.Sing.NonPass		karoti	karoti	40555	śītapitta haraḥ ___ na nidāghe	śītapitta haraḥ karoti na nidāghe	kuryāt|kuru|cakāra	3	mcq
1519	483918	7672	7	1	156168	kṛ	VERB	Past.Ind.3.Sing.NonPass		cakre	cakre	40555	___ baliṃ ca tat śakrāya dadau hariḥ	cakre baliṃ ca tat śakrāya dadau hariḥ	kuryāt|karoti|kurute	3	mcq
1957	484356	7684	8	6	156168	kṛ	VERB	Past.Ind.3.Sing.NonPass		cakāra	cakāra	40555	jitvā niḥsārya ca abdhi stham ___ bala saṃstutaḥ	jitvā niḥsārya ca abdhi stham cakāra bala saṃstutaḥ	kuryāt|karoti|kurute	3	mcq
455	590213	9744	7	1	157250	bhū	VERB	Pres.Opt.3.Sing.NonPass		bhavet	bhavet	40393	___ paitram tu ahorātram māsena abdena daivatam	bhavet paitram tu ahorātram māsena abdena daivatam	bhavati|bhavanti|abhavat	3	mcq
891	506110	7429	7	1	157250	bhū	VERB	Pres.Opt.3.Sing.NonPass		bhavet	bhavet	40393	___ ṣoḍaśabhir māṣaiḥ suvarṇas tat punaḥ smṛtaḥ	bhavet ṣoḍaśabhir māṣaiḥ suvarṇas tat punaḥ smṛtaḥ	bhavati|bhavanti|abhavat	3	mcq
943	506162	7429	6	6	157250	bhū	VERB	Pres.Opt.3.Sing.NonPass		bhavet	bhavet	40393	mṛdau caturguṇaṃ deyaṃ kaṭhine 'ṣṭaguṇaṃ ___	mṛdau caturguṇaṃ deyaṃ kaṭhine 'ṣṭaguṇaṃ bhavet	bhavati|bhavanti|abhavat	3	mcq
179	589937	9741	9	5	156122	as	VERB	Pres.Opt.3.Plur.NonPass		syuḥ	syuḥ	35467	kṛmi pīlaka lūtā ādyāḥ ___ dvi tri catur indriyāḥ	kṛmi pīlaka lūtā ādyāḥ syuḥ dvi tri catur indriyāḥ	syāt|asi|asti	3	mcq
206	589964	9741	6	4	156122	as	VERB	Pres.Opt.3.Sing.NonPass		syāt	syāt	35467	ikṣvāku kula sambhūtāḥ ___ dvāviṃśatiḥ arhatām	ikṣvāku kula sambhūtāḥ syāt dvāviṃśatiḥ arhatām	asi|asti|astu	3	mcq
219	589977	9741	5	1	156122	as	VERB	Pres.Opt.3.Sing.NonPass		syāt	syāt	35467	___ gomukhaḥ mahāyakṣaḥ trimukhaḥ yakṣanāyakaḥ	syāt gomukhaḥ mahāyakṣaḥ trimukhaḥ yakṣanāyakaḥ	asi|asti|astu	3	mcq
1194	555569	8248	9	3	157264	vac	VERB	Pres.Ind.3.Sing.Pass		ucyate	ucyate	33948	para ity ___ yo 'yaṃ na vinā sva svabhāvāt	para ity ucyate yo 'yaṃ na vinā sva svabhāvāt	uvāca|ūcuḥ|avocat	3	mcq
