lesson	lemma_iast	band	count_all	rank_all	topic	form	example_iast	dcs_text	dcs_locus	ru	ru_source
XII	nadī	топ-1000	1448	467	производный женский тип на -ī	nadī	ṛṇadātā ca vaidyaś ca śrotriyaḥ sajalā nadī	Hitopadeśa	Hitop, 1, 111.3	[где есть] заимодавец, врач, знаток Вед — и река, полная воды	authored
XII	vadhū	редкое	421	1636	производный женский тип на -ū	vadhūḥ	sarvalakṣaṇasampannā nārīṇām uttamā vadhūḥ	Rāmāyaṇa	Rām, Bā, 1, 24	наделенная всеми добрыми знаками, лучшая из женщин невеста	authored
XII	senānī	редкое	26	10649	мужская основа на -ī (контрпример HK-16)	senānīḥ	devatānāṃ yathā skandaḥ senānīḥ prabhur avyayaḥ	Mahābhārata	MBh, 8, 6, 29	как Сканда — полководец богов, владыка нетленный	authored
XVI	jñā	топ-100	4568	90	ядро IX класса без носового	jñāyatām	tadaiteṣām upayogo jñāyatām	Hitopadeśa	Hitop, 3, 69.2	так пусть станет известно, какая от них польза	authored
XVI	grah	топ-100	4310	100	ядро IX класса без носового	gṛhṇāti	sa mṛtyur eva gṛhṇāti garbham aśvatarī yathā	Hitopadeśa	Hitop, 2, 148.4	того смерть и хватает — как мулица собственный плод	authored
XVI	krī	редкое	169	3324	ядро IX класса без носового	krīṇīyād	krīṇīyād yas tv apatyārthaṃ mātāpitror yam antikāt	Manusmṛti	ManuS, 9, 172	[сын], которого ради потомства покупают у отца и матери	authored
XVI	pū	топ-1000	1326	515	ядро IX класса без носового	pūyate	satyena pūyate sākṣī dharmaḥ satyena vardhate	Manusmṛti	ManuS, 8, 83	правдой очищается свидетель, правдой возрастает дхарма	authored
XVI	lū	редкое	64	6402	ядро IX класса без носового	lūna	hataputrabalo dīno lūnapakṣa iva dvijaḥ	Rāmāyaṇa	Rām, Bā, 54, 10	потерявший сыновей и войско, жалкий, как птица с подрезанными крыльями	authored
XVI	prī	топ-1000	1262	540	ядро IX класса без носового	prītena	anvādheyaṃ ca yad dattaṃ patyā prītena caiva yat	Manusmṛti	ManuS, 9, 191	и то [имущество], что подарено довольным мужем	authored
XVI	bandh	топ-1000	2210	296	подкласс с выпадающим носовым	badhnīyāt	ātmanāvagataṃ kṛtvā badhnīyāt pūjayec ca vā	Hitopadeśa	Hitop, 2, 143.3	убедившись сам, пусть либо свяжет [его], либо почтит	authored
XVIII	kṛ	топ-100	33251	12	будущее время (HK-4a/4b)	kariṣyati	locanābhyāṃ vihīnasya darpaṇaḥ kiṃ kariṣyati	Hitopadeśa	Hitop, 3, 121.5	что сделает зеркало тому, кто лишен глаз?	authored
XVIII	bhū	топ-100	32612	13	будущее время (HK-4a/4b)	bhaviṣyati	anena sadṛśo loke na bhūto na bhaviṣyati	Hitopadeśa	Hitop, 3, 103.13	равного ему в мире не было и не будет	authored
XVIII	gam	топ-100	15950	25	будущее время (HK-4a/4b)	gamiṣyati	āyuṣaḥ khaṇḍam ādāya ravir astaṃ gamiṣyati	Hitopadeśa	Hitop, 1, 4.4	забрав кусок жизни, солнце уйдет за горизонт	authored
XVIII	dṛś	топ-100	14755	27	исход корня перед -sya: ś → k (HK-21)	drakṣyāmahe	kadā drakṣyāmahe rāmaṃ jagataḥ śokanāśanam	Rāmāyaṇa	Rām, Ay, 77, 8.2	когда увидим мы Раму, уносящего скорбь мира?	authored
XVIII	dah	топ-1000	2012	329	исход корня перед -sya: h → k (HK-21)	dhakṣyāmi	imaṃ dhakṣyāmi saumitre hataṃ raudreṇa rakṣasā	Rāmāyaṇa	Rām, Ār, 64, 28.2	его я сожгу, о сын Сумитры, — сраженного свирепым ракшасом	authored
XVIII	sṛj	топ-1000	1840	361	исход корня перед -sya: j → k (HK-21)	srakṣyāmi	ekībhūto hi srakṣyāmi śarīrād dvijasattama	Mahābhārata	MBh, 3, 187, 46.2	став единым, я сотворю [все] из [своего] тела, о лучший из дваждырожденных	authored
XVIII	ruh	редкое	310	2079	исход корня перед -sya: h → k (HK-21)	rokṣyanti	sasyāni ca na rokṣyanti yugānte paryupasthite	Mahābhārata	MBh, 3, 188, 76.2	и посевы не взойдут, когда настанет конец юги	authored
