key	verdict	locus	note
a-stems:14	AGREE	раздел «Склонение» (L176–224)	Таблица: строки «N, Voc, A, I, D, Abl, G, L» × sg/pl/du (24 клетки), столбец a; «самое частотное» Z. явно не утверждает.
a-stems:17	SILENT	—	Voc в таблице — одна из 8 форм, но статус «падеж vs форма» и терминологию статьи не обсуждает (искал: Voc/зват., падеж).
a-stems:169	AGREE	раздел «Склонение» (L239)	Имплицитно: «подобно обычным прилагательным, в m и n по а‑склонению» — a-основы поданы как обычный тип; «крупнейший» не квантифицирован.
a-stems:172	AGREE	раздел «Словообразование» (L421)	«от основ на а --- замена ‑а‑ на ‑ā‑ или ‑ī‑» (жен. род прилагательных); m/n по a-, f по ā/ī; счёт 72 клеток — арифметика статьи.
a-stems:179	AGREE	раздел «Склонение» (L204–216)	Синкретизм в самих строках таблицы: «I D Abl ‑bhyām», «G L ‑os», «D Abl ‑bhyas» (a-осн.: ābhyām, ayos, ebhyas).
a-stems:202	AGREE	раздел «Особенности ведийского языка» (L507, L513)	«NVocpl m а-склонения -āsas вместо -ās», «Ipl m-n... -ebhis вместо -ais» — оба варианта есть.
declension-overview:20	AGREE	раздел «Склонение» (L176–224)	Та же сетка: «N, Voc, A, I, D, Abl, G, L» × sg/pl/du, отдельные строки для m/f и n.
declension-overview:22	AGREE	раздел «Склонение» (L177)	«Основообразующий элемент + окончание (особые случаи)»: столбцы a, ā, i, u, ar, an — распределение по исходу основы.
declension-overview:86	AGREE	раздел «Склонение» (L188)	Строка I sg: «E‑N‑A», «A‑Y‑ā», «i‑N‑ā», «u‑N‑ā», «r‑ā», чистое «‑ā» у согласных; ī/ū жен.: «стандартно: уā, vā» (сноска).
consonant-stems:19	SILENT	—	Ранжирования типов склонения по важности нет (искал: согласные основы, корневое склонение, «второй»).
consonant-stems:22	AGREE	раздел «Склонение» (L204–212)	an-осн. перед согл. окончаниями: «a‑bhis», «a‑su» (rāja-); Voc sg «an» (rājan) у Z. помечен «+» (guṇa), термина «средняя» нет.
consonant-stems:23	AGREE	раздел «Склонение» (L182–210)	Столбец an: N «Ā», A «ān‑am», I «n‑ā», Lpl «a‑su» — rājā, rājānam, rājñā, rājasu; то же трёхступенчатое распределение.
consonant-stems:30	AGREE	раздел «Склонение» (L226)	«in --- Nsg m balī..., NVocAsg n bali, Ipl balibhis» — Nom на ‑ī и потеря ‑n налицо; -min/-vin отдельно не выделены.
consonant-stems:31	AGREE	раздел «Склонение» (L226)	«NVocApl n manāṁsi, havīṁṣi, cakṣūṁṣi»; слова на as, is, us по умолчанию ср. рода (L476).
consonant-stems:33	AGREE	раздел «Склонение» (L226, L253)	Корневое склонение есть: «ā (корнев.)... jās», «Склонение основ catur‑, ṣaṣ‑ --- корневое»; vāc в лексиконе; ‑añc не обсуждён.
consonant-stems:98	AGREE	раздел «Склонение» (L182–216)	По таблице: «+» у N/A sg, NVocA du, NVoc pl; слабые «n‑ā», «nām»; средние «a‑bhis», «a‑su»; у Z. «+» стоит и на Voc sg (guṇa).
pronouns:19	SILENT	—	Списки местоимений даны, тезиса о закрытом классе/непополняемости нет (искал: закрытый, класс, пополн-).
pronouns:22	AGREE	раздел «Склонение» (L233–243)	«aham, tvam... Abl mad, tvad», основы asm‑/yuṣm‑; отдельного 3 л. нет — «sa 'он, тот'» (tad) в его роли.
pronouns:25	AGREE	раздел «Склонение» (L243–247)	«sa 'он, тот'», eṣa/etad, «ayam 'он, этот'» (n idam), «asau (m, f), adas (n) 'тот'»; глосса etad у Z. — 'он, тот', не 'этот'.
pronouns:26	AGREE	раздел «Склонение» (L241)	«Ka‑ 'кто, какой' --- то же, но Nsg n kim ('что')» — м. по ya‑ (kaḥ), ср. kim.
pronouns:27	AGREE	раздел «Склонение» (L239)	«Образец: уа‑ 'который'»; «Nsg n yad».
pronouns:28	AGREE	раздел «Превербы», Частицы (L460)	«'‑нибудь, ‑то': CIT, SVIT, CANA, API» — неопределённые как вопросит. + частица; сами kaścit/kaścana не выписаны.
pronouns:29	AGREE	раздел «Склонение» (L239–241)	«Так же: anya‑...», «sarva‑... как ya‑, но Nsg n... ‑m» — местоимённое склонение по родам; para/sama в списке Z. отсутствуют.
pronouns:32	AGREE	раздел «Склонение» (L239)	«D yasmai, Abl yasmād, L yasmin... Gpl m‑n yeṣām» — те же особые окончания (‑smāt = ‑smād).
pronouns:90	AGREE	раздел «Склонение» (L233–243)	«D mahyam / me... G mama / me», «G asmākam»; «Nsg m sa..., f sā; все прочие формы --- с начальным t» → tasmai, teṣām и т.д.
thematic-present:14	AGREE	раздел «Классы презенса» (L307–331)	Все 10 классов; тематические: «1 g‑a‑ naya‑ti», «6 tuda‑ti», «4 kupya‑ti», «10 coraya‑ti» — состав I/IV/VI/X тот же, примеры иные.
thematic-present:129	AGREE	раздел «Классы презенса» (L312–314)	«1 g‑a‑» против «6 ø‑a‑» — guṇa vs слабая ступень; акцент и тождество без акцента конспект не отмечает.
thematic-present:134	AGREE	раздел «Перфект», Пассив (L389)	«Пассив... ø‑ya‑ (т.е. как в 4‑м классе презенса)» — формальное тождество утверждено прямо; про акцент Z. не говорит.
thematic-present:150	AGREE	раздел «Классы презенса» (L312–330)	«9 ø‑nā‑», «5 ø‑no‑», «8 g‑o‑», «7 ø с инфиксом ‑na‑», «3 удвоит. слог», «4 ø‑ya‑»; 1 и 6 различены ступенью корня.
thematic-present:92	AGREE	раздел «Классы презенса» (L325–328)	«10 g‑aya‑ coraya‑ti» — в столбце тематических; каузатив «v/g‑aya‑» отослан туда же; деноминатив «+ ‑aya‑» (L419).
thematic-present:94	SILENT	—	Утверждение о тексте Уитни, Z. его не цитирует; сам он тоже даёт многоклассные корни («KAR... 5, 8», «DĀ... 3»), но иные наборы.
thematic-present:186	SILENT	—	«AS быть 2» в списке корней есть, но второго as 'бросать' (IV) и пары омонимов нет (искал: AS, бросать, класс 4).
conjugation-overview:25	AGREE	раздел «Спряжение» (L269–333)	Таблицы: 1/2/3 л. × sg/pl/du, столбцы Act/Med; «в презенсе, футуруме... в имперфекте, ... аористе, оптативе» — все пять осей.
