group_id,dhatus,karaka,citation,source
0,अस् भू विद्,kartṛ,यस्य नास्ति स्वंय प्रज्ञा शास्त्रं तस्य करोति किम् ।,सुभाषितम्
0,अस् भू विद्,kartṛ,परवाच्येषु निपुणः सर्वो भवति सर्वदा ।,"महाभारतम्, ८.३८.४२"
0,अस् भू विद्,kartṛ,मामुपेत्य तु कौन्तेय पुनर्जन्म न विद्यते ।,गीता ८.१६
0,अस् भू विद्,karman,अकर्मकः,
0,अस् भू विद्,apādāna,अभयं सर्वभूतेभ्यो दत्त्वा यश्चरते मुनिः । तस्यापि सर्वभूतेभ्यो न भयं विद्यते क्वचित् ।,विष्णुपुराणम् ३.९.३१ (विकी) (?) भयं- इत्यस्य योगेन पञ्चमी? उत विद् धातोः कारकम्?)
0,अस् भू विद्,apādāna,क्रोधात् भवति सम्मोहः।,२.६३ गीता
0,अस् भू विद्,adhikaraṇa,माघे सन्ति त्रयो गुणाः । (?),
0,अस् भू विद्,adhikaraṇa,अस्ति कश्चित् विशिष्टो वा मद्विधो वा भवेद् युधि ।,"५.९४.७ महाभारतम्,"
0,अस् भू विद्,adhikaraṇa,न देवो विद्यते काष्ठे न पाषाणे न मृण्मये ।,"गरुडपुराणम्, उत्तर, ३.१०"
0,अस् भू विद्,hetu,तस्माद्भवत्वयं नाम्ना भरतो नाम ते सुतः ।,"महाभारतम्, १.६९.३३"
0,अस् भू विद्,hetu,अस्ति वै तादृशं कर्म येन पुत्रशतं भवेत् ।,"महाभारतम्, ३.१२७.१७."
0,अस् भू विद्,hetu,केन स्वित् श्रोत्रियो भवति केन स्वित् विन्दते महत् ।,"महाभारतम्, ३.२९७.२६"
0,अस् भू विद्,hetu,वर्ण-गन्ध-रस-स्पर्श-शब्द-देहेन्द्रियादयः । चेतनस्य न विद्यन्ते निसर्गेण कदाचन ।,योगसार-जीवाधिकारगाथा-५३
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),kartṛ,कुपुत्रो जायेत क्वचिदपि कुमाता न भवति ।,देव्यपराधक्षमापनस्तोत्रम्.
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),kartṛ,न आत्मा जजान न मरिष्यति ।,उद्धवगीता. १
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),karman,अकर्मकः,
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),apādāna,यस्मात् सर्वमिदं प्रपञ्चरचितं मायाजगज्जायते ।,"ब्रह्मपुराणम्, १"
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),apādāna,तृणादुत्पद्यते दुग्धं दुग्धादुत्पद्यते विषम् ।,सुभाषितम्
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),apādāna,अभयं सर्वभूतेभ्यो दत्त्वा चरति यो मुनिः । न तस्य सर्वभूतेभ्यो भयमुत्पद्यते क्वचित् ।,"नारदपरिव्राजकोपनिषत्, १५."
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),apādāna,व्योम्नि लीनः क्रमात् तस्मादाकाशादुद्भवन्ति ते ।,"आनन्दकन्दः, १.२०.४२"
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),apādāna,काण्डात्काण्डात् प्ररोहन्ति परुषः परुषः परि।,वाजसनेयी यजुर्वेदः १३.२०
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),adhikaraṇa,संग्रामे संकटे चैव विघ्नस्तस्य न जायते ।,विनायकषोडशनामानि
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),adhikaraṇa,पौलस्त्या भ्रातरश्चास्य जज्ञिरे मनुजेष्विह ।,"महाभारतम्, १.६१.८२"
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),adhikaraṇa,उत्पद्यन्ते विलीयन्ते बुद्बुदाश्च यथा जले ।,"अवधूतगीता, २.७"
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),adhikaraṇa,न पर्वताग्रे नलिनी प्ररोहति ।,"मालविकाग्निमित्रम्, ४.१७"
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),adhikaraṇa,गायत्र्युपासकस्वान्ते सत्कामा उद्भवन्ति हि।,"गायत्रीसंहिता, १७"
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),hetu,प्रायेणोत्तममध्यमाधमदशा संसर्गतो जायते ।,भर्तृहरिनीतिशतकम् । (प्रत्यययोजनेन कारकं व्यज्यते वा) (?)
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),hetu,पापेन जायते  व्याधिः।,"कर्मविपाकसंहिता, २२.१"
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),hetu,जन्मना जायते शूद्रः ।,"स्कान्दपुराणम्, ६.२३९.३१"
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),hetu,हिडिम्बायां च भीमेन वने जज्ञे घटोत्कचः ।,"महाभारतम्, १.५७.१०७"
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),anya,शतेषु जायते शूरः सहस्त्रेषु च पण्डितः । वक्ता दशसहस्त्रेषु दाता भवति वा न वा ।,"व्यासस्मृतिः, ४.५८ (निर्धारणसप्तमी)"
1,जन् पद् (उत्-) रुह् (प्र-) भू (उद्-),anya,यमाभ्यां भीमसेनाच्च भयं मे तात जायते ।,"महाभारतम्, ५.५३.६ (षष्ठी शेषे?)"
2,सिध् राध् राध् साध् फल्,kartṛ,विज्ञोपायेन सिद्ध्यन्ति कार्याणि ।,देवीभागवतम् २.८.३३
2,सिध् राध् राध् साध् फल्,kartṛ,दैवं फलति सर्वत्र न विद्या न च पौरुषम् ।,सुभाषितम्
2,सिध् राध् राध् साध् फल्,kartṛ,ततश्च सृष्टिसंहारौ जगतो न सम्भवत इति ब्रुवाणः सर्वज्ञताम् एव जह्यात् ।,"मृगेन्द्रटीका, विद्यापाद, ९.१०.२.५.०"
2,सिध् राध् राध् साध् फल्,karman,पुराणोऽपि स्थाणुः फलति किल कैवल्यपदवीम् (?),आनन्दलहरी ७ (फल् अकर्मकः?)
2,सिध् राध् राध् साध् फल्,karaṇa,उद्यमेन हि सिद्ध्यन्ति कार्याणि न मनोरथैः ।,सुभाषितम्
2,सिध् राध् राध् साध् फल्,apādāna,तद्वन्नीतिरियं देव चिरात् फलति रक्षणात् ।,"हितोपदेशः, ३.४३"
2,सिध् राध् राध् साध् फल्,adhikaraṇa,नाधर्मश्चरितो लोके सद्य: फलति गौरिव |,"मनुस्मृतिः, ४.१७२"
